Year,Month,Day,Hour,Minute,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,GHI,Solar Zenith Angle,Temperature,Pressure,Relative Humidity,Precipitable Water,Wind Direction,Wind Speed
2005,1,1,0,0,0,0,0,3,7.85,0,0,0,169.4598191,14.85,905,63,2.440944891,154,5
2005,1,1,0,30,0,0,0,4,7.85,0,0,0,175.6874206,14.85,905,62,2.401574813,156,5
2005,1,1,1,0,0,0,0,7,6.85,0,0,0,175.6014652,14.85,905,61,2.362204734,156,5
2005,1,1,1,30,0,0,0,7,6.85,0,0,0,169.3537176,14.85,905,60,2.322834656,156,5
2005,1,1,2,0,0,0,0,7,6.85,0,0,0,162.6704331,14.85,905,59,2.283464577,156,4
2005,1,1,2,30,0,0,0,7,6.85,0,0,0,155.9230428,14.85,900,58,2.20472442,157,4
2005,1,1,3,0,0,0,0,7,6.85,0,0,0,149.1676531,14.85,905,57,2.244094498,157,4
2005,1,1,3,30,0,0,0,7,5.85,0,0,0,142.4247104,14.85,905,56,2.20472442,157,4
2005,1,1,4,0,0,0,0,0,5.85,0,0,0,135.7067055,14.85,905,55,2.165354341,159,3
2005,1,1,4,30,0,0,0,0,5.85,0,0,0,129.0241801,14.85,905,54,2.125984263,159,3
2005,1,1,5,0,0,0,0,0,4.85,0,0,0,122.3877646,14.85,905,53,2.086614184,160,3
2005,1,1,5,30,0,0,0,3,4.85,0,0,0,115.8092167,14.85,900,52,2.007874027,162,3
2005,1,1,6,0,0,0,0,4,4.85,0,0,0,109.3022114,14.85,905,51,2.007874027,159,3
2005,1,1,6,30,0,0,0,1,4.85,0,0,0,102.8831404,15.85,905,49,2.007874027,153,3
2005,1,1,7,0,0,0,0,3,4.85,0,0,0,96.57205755,15.85,905,48,2.007874027,147,2
2005,1,1,7,30,0,0,0,-15,4.85,0,0,0,90.39132691,16.85,905,47,2.007874027,143,2
2005,1,1,8,0,37,236,60,-15,4.85,26,0,26,84.37917882,16.85,905,45,2.007874027,139,2
2005,1,1,8,30,62,488,159,3,4.85,67,5,68,78.56931337,17.85,902,43,1.968503948,136,2
2005,1,1,9,0,81,630,265,3,5.85,113,28,121,73.01351331,18.85,905,42,2.007874027,129,2
2005,1,1,9,30,94,719,366,7,5.85,117,0,117,67.77611044,18.85,905,41,2.007874027,120,2
2005,1,1,10,0,104,780,458,8,5.85,214,128,272,62.93817101,19.85,905,39,2.007874027,103,2
2005,1,1,10,30,111,821,539,7,5.85,164,5,166,58.6000575,19.85,905,38,2.007874027,86,2
2005,1,1,11,0,118,850,607,3,5.85,245,38,267,54.88158261,20.85,905,37,2.007874027,79,3
2005,1,1,11,30,121,870,658,3,5.85,266,39,290,51.91701915,21.85,906,35,2.007874027,75,3
2005,1,1,12,0,125,882,694,3,5.85,201,666,631,49.84181622,21.85,906,35,2.007874027,75,3
2005,1,1,12,30,126,888,712,0,5.85,126,888,712,48.77013767,21.85,906,36,2.047244105,75,3
2005,1,1,13,0,126,888,712,7,6.85,164,778,677,48.76844131,21.85,905,36,2.047244105,77,3
2005,1,1,13,30,125,882,694,8,5.85,160,773,659,49.83684932,20.85,905,37,2.086614184,77,3
2005,1,1,14,0,123,870,659,8,6.85,156,758,624,51.90911309,20.85,905,37,2.125984263,78,3
2005,1,1,14,30,118,850,607,8,6.85,195,583,531,54.87119408,20.85,905,38,2.125984263,78,3
2005,1,1,15,0,113,821,540,8,6.85,188,11,194,58.58768027,20.85,905,39,2.165354341,78,3
2005,1,1,15,30,105,779,460,8,6.85,132,647,426,62.92427363,20.85,905,39,2.165354341,78,4
2005,1,1,16,0,95,719,367,7,6.85,89,0,89,67.7611056,20.85,905,40,2.20472442,78,4
2005,1,1,16,30,80,632,265,8,6.85,125,65,144,72.99775009,20.85,905,40,2.244094498,78,4
2005,1,1,17,0,61,494,159,-15,6.85,81,30,87,78.55308167,20.85,905,41,2.244094498,78,4
2005,1,1,17,30,42,172,59,-15,6.85,32,0,32,84.36271868,20.85,905,42,2.283464577,78,4
2005,1,1,18,0,0,0,0,0,6.85,0,0,0,90.37484645,19.85,905,43,2.322834656,81,4
2005,1,1,18,30,0,0,0,0,7.85,0,0,0,96.55569662,19.85,905,45,2.362204734,85,4
2005,1,1,19,0,0,0,0,1,7.85,0,0,0,102.8670478,19.85,905,47,2.401574813,91,3
2005,1,1,19,30,0,0,0,3,7.85,0,0,0,109.2864981,18.85,905,49,2.440944891,96,3
2005,1,1,20,0,0,0,0,7,8.85,0,0,0,115.7939689,18.85,905,52,2.48031497,103,3
2005,1,1,20,30,0,0,0,7,8.85,0,0,0,122.3730406,17.85,905,54,2.519685049,111,3
2005,1,1,21,0,0,0,0,7,8.85,0,0,0,129.0100023,17.85,906,55,2.598425206,118,3
2005,1,1,21,30,0,0,0,6,8.85,0,0,0,135.6930426,17.85,906,57,2.637795284,123,3
2005,1,1,22,0,0,0,0,7,8.85,0,0,0,142.4114418,16.85,906,59,2.677165363,130,3
2005,1,1,22,30,0,0,0,7,8.85,0,0,0,149.1544916,16.85,906,61,2.716535442,136,4
2005,1,1,23,0,0,0,0,7,9.85,0,0,0,155.9093464,16.85,906,64,2.75590552,140,4
2005,1,1,23,30,0,0,0,6,8.85,0,0,0,162.654654,15.85,902,65,2.75590552,145,4
2005,1,2,0,0,0,0,0,7,9.85,0,0,0,169.331185,15.85,906,67,2.834645677,147,4
2005,1,2,0,30,0,0,0,6,9.85,0,0,0,175.5488303,15.85,906,66,2.795275599,149,4
2005,1,2,1,0,0,0,0,6,9.85,0,0,0,175.6285929,15.85,906,66,2.75590552,149,4
2005,1,2,1,30,0,0,0,6,8.85,0,0,0,169.4302946,15.85,906,65,2.75590552,149,4
2005,1,2,2,0,0,0,0,6,8.85,0,0,0,162.755476,15.85,906,65,2.716535442,149,4
2005,1,2,2,30,0,0,0,6,8.85,0,0,0,156.0099712,15.85,902,65,2.677165363,149,4
2005,1,2,3,0,0,0,0,7,8.85,0,0,0,149.2542313,15.85,906,65,2.677165363,150,4
2005,1,2,3,30,0,0,0,7,8.85,0,0,0,142.5098349,15.85,906,64,2.637795284,150,3
2005,1,2,4,0,0,0,0,7,8.85,0,0,0,135.7896745,15.85,906,64,2.637795284,150,3
2005,1,2,4,30,0,0,0,8,8.85,0,0,0,129.1044517,15.85,906,64,2.598425206,150,3
2005,1,2,5,0,0,0,0,7,8.85,0,0,0,122.464853,15.85,906,63,2.598425206,152,3
2005,1,2,5,30,0,0,0,7,7.85,0,0,0,115.8826389,15.85,902,62,2.519685049,152,3
2005,1,2,6,0,0,0,0,7,8.85,0,0,0,109.3714513,15.85,906,62,2.559055127,149,3
2005,1,2,6,30,0,0,0,0,8.85,0,0,0,102.9476212,15.85,906,60,2.559055127,145,3
2005,1,2,7,0,0,0,0,0,8.85,0,0,0,96.63111558,16.85,906,58,2.559055127,142,3
2005,1,2,7,30,0,0,0,-15,8.85,0,0,0,90.44414222,16.85,906,57,2.519685049,137,3
2005,1,2,8,0,37,232,59,-15,8.85,31,14,33,84.42490973,17.85,906,55,2.519685049,133,3
2005,1,2,8,30,62,484,157,3,8.85,76,51,86,78.60683012,17.85,903,54,2.48031497,129,3
2005,1,2,9,0,80,627,263,3,8.85,125,96,153,73.04151501,18.85,906,52,2.519685049,123,3
2005,1,2,9,30,93,716,364,3,8.85,130,6,132,67.79307734,18.85,906,51,2.519685049,119,3
2005,1,2,10,0,103,777,456,7,8.85,81,0,81,62.9423724,19.85,906,49,2.519685049,115,3
2005,1,2,10,30,111,818,537,8,8.85,104,0,104,58.58961783,19.85,906,48,2.519685049,111,4
2005,1,2,11,0,117,847,605,8,8.85,252,46,278,54.85464463,20.85,906,46,2.519685049,105,4
2005,1,2,11,30,121,866,656,7,8.85,272,45,300,51.87203828,21.85,908,44,2.519685049,102,4
2005,1,2,12,0,124,878,692,2,8.85,182,715,644,49.77797082,21.85,908,44,2.559055127,99,4
2005,1,2,12,30,126,884,710,2,8.85,177,741,667,48.68773473,21.85,906,45,2.598425206,99,4
2005,1,2,13,0,126,884,710,2,9.85,243,554,609,48.66909864,21.85,906,46,2.677165363,99,4
2005,1,2,13,30,125,878,692,7,9.85,186,704,641,49.72328509,21.85,906,47,2.716535442,99,5
2005,1,2,14,0,122,866,658,8,9.85,163,738,619,51.78460557,21.85,906,48,2.795275599,99,5
2005,1,2,14,30,118,847,607,1,10.85,264,342,461,54.73898217,21.85,906,49,2.834645677,99,5
2005,1,2,15,0,112,817,540,8,9.85,246,266,385,58.45055092,20.85,906,50,2.913385835,99,5
2005,1,2,15,30,104,777,459,7,10.85,155,555,408,62.78440259,20.85,906,52,2.952755913,99,5
2005,1,2,16,0,94,718,367,7,10.85,126,547,334,67.62008005,20.85,906,52,3.03149607,99,5
2005,1,2,16,30,81,631,267,8,10.85,113,370,222,72.85667416,20.85,906,54,3.070866149,99,6
2005,1,2,17,0,60,495,160,-15,11.85,76,282,133,78.41269728,20.85,906,55,3.149606306,99,6
2005,1,2,17,30,44,177,62,-15,11.85,52,0,52,84.22351393,20.85,906,55,3.188976385,98,6
