Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Version
NSRDB,594052,-,-,-,25.69,-100.3,-6,514,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,v1.0.2
Year,Month,Day,Hour,Minute,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,GHI,Solar Zenith Angle,Temperature,Pressure,Relative Humidity,Precipitable Water,Wind Direction,Wind Speed
2006,1,1,0,0,0,0,0,0,-4.149999999999977,0,0,0,169.49130539906804,17.850000000000023,900,15,0.7480315119028091,220,4
2006,1,1,0,30,0,0,0,0,-5.149999999999977,0,0,0,175.72079751503634,17.850000000000023,900,14,0.7086614333093166,221,4
2006,1,1,1,0,0,0,0,0,-5.149999999999977,0,0,0,175.59291566720412,17.850000000000023,900,13,0.6692913547158241,223,5
2006,1,1,1,30,0,0,0,0,-5.149999999999977,0,0,0,169.33390475152663,17.850000000000023,900,13,0.6692913547158241,224,5
2006,1,1,2,0,0,0,0,0,-6.149999999999977,0,0,0,162.64872580159238,16.850000000000023,900,12,0.6299212761223316,225,5
2006,1,1,2,30,0,0,0,0,-6.149999999999977,0,0,0,155.90092767429047,16.850000000000023,897,11,0.5511811189353466,225,5
2006,1,1,3,0,0,0,0,0,-6.149999999999977,0,0,0,149.14563587695642,16.850000000000023,900,11,0.5511811189353466,228,5
2006,1,1,3,30,0,0,0,0,-7.149999999999977,0,0,0,142.4030421484202,16.850000000000023,900,10,0.5118110403418541,230,5
2006,1,1,4,0,0,0,0,0,-7.149999999999977,0,0,0,135.6855472572392,16.850000000000023,900,10,0.4724409617483616,230,5
2006,1,1,4,30,0,0,0,0,-7.149999999999977,0,0,0,129.00365766519758,16.850000000000023,900,10,0.4330708831548691,231,5
2006,1,1,5,0,0,0,0,0,-8.149999999999977,0,0,0,122.36799165697084,15.850000000000023,900,9,0.39370080456137657,232,5
2006,1,1,5,30,0,0,0,0,-8.149999999999977,0,0,0,115.790307561194,15.850000000000023,897,8,0.35433072596788406,231,5
2006,1,1,6,0,0,0,0,0,-8.149999999999977,0,0,0,109.284288595236,16.850000000000023,900,8,0.35433072596788406,234,5
2006,1,1,6,30,0,0,0,0,-7.149999999999977,0,0,0,102.86634171898288,16.850000000000023,900,8,0.35433072596788406,235,5
2006,1,1,7,0,0,0,0,1,-7.149999999999977,0,0,0,96.55654222423927,17.850000000000023,900,8,0.39370080456137657,238,5
2006,1,1,7,30,0,0,0,-15,-6.149999999999977,0,0,0,90.37729539330634,18.850000000000023,900,8,0.39370080456137657,240,5
2006,1,1,8,0,40,252,65,-15,-5.149999999999977,40,252,65,84.36682866668927,19.850000000000023,900,8,0.4330708831548691,242,5
2006,1,1,8,30,67,516,170,0,-4.149999999999977,67,516,170,78.55892030131515,20.850000000000023,897,8,0.4330708831548691,244,5
2006,1,1,9,0,86,664,280,1,-4.149999999999977,94,544,253,73.00539388114828,21.850000000000023,900,8,0.4330708831548691,247,4
2006,1,1,9,30,100,757,387,1,-3.1499999999999773,123,558,334,67.77063588585719,21.850000000000023,900,8,0.4724409617483616,249,4
2006,1,1,10,0,111,818,483,1,-3.1499999999999773,134,647,428,62.93576640944951,22.850000000000023,900,7,0.4724409617483616,252,4
2006,1,1,10,30,119,862,568,0,-2.1499999999999773,119,862,568,58.60118695829959,23.850000000000023,900,7,0.5118110403418541,257,4
2006,1,1,11,0,126,891,638,0,-1.1499999999999773,126,891,638,54.88671105918299,23.850000000000023,900,7,0.5118110403418541,262,4
2006,1,1,11,30,130,911,692,0,-0.14999999999997726,130,911,692,51.926542034569195,24.850000000000023,900,7,0.5511811189353466,271,4
2006,1,1,12,0,133,924,729,0,-0.14999999999997726,133,924,729,49.85595991309675,25.850000000000023,900,7,0.5511811189353466,279,4
2006,1,1,12,30,135,930,748,0,-0.14999999999997726,135,930,748,48.78885902167482,25.850000000000023,900,8,0.5511811189353466,285,4
2006,1,1,13,0,135,930,748,0,-0.14999999999997726,135,930,748,48.79137899557228,24.850000000000023,900,8,0.5905511975288391,194,4
2006,1,1,13,30,134,923,729,0,-0.14999999999997726,134,923,729,49.86336944092166,24.850000000000023,900,8,0.5905511975288391,198,4
2006,1,1,14,0,132,911,693,0,-0.14999999999997726,132,911,693,51.93843601321067,24.850000000000023,900,9,0.5905511975288391,203,4
2006,1,1,14,30,127,892,640,0,-0.14999999999997726,127,892,640,54.90253889357331,24.850000000000023,900,9,0.6299212761223316,206,4
2006,1,1,15,0,121,862,570,0,-0.14999999999997726,121,862,570,58.62036671264061,24.850000000000023,900,9,0.6299212761223316,208,3
2006,1,1,15,30,112,821,485,0,-0.14999999999997726,112,821,485,62.95776393711563,24.850000000000023,900,9,0.6299212761223316,210,3
2006,1,1,16,0,101,759,388,0,-0.14999999999997726,101,759,388,67.79500199386568,24.850000000000023,900,10,0.6692913547158241,211,3
2006,1,1,16,30,86,669,281,0,-0.14999999999997726,86,669,281,73.03177134409654,24.850000000000023,900,10,0.6692913547158241,213,3
2006,1,1,17,0,66,527,170,-15,-0.14999999999997726,66,527,170,78.58703501955604,24.850000000000023,900,10,0.6692913547158241,211,3
2006,1,1,17,30,46,189,65,-15,-0.14999999999997726,65,0,65,84.3964742095237,24.850000000000023,900,10,0.7086614333093166,207,3
2006,1,1,18,0,0,0,0,0,-0.14999999999997726,0,0,0,90.4083012784665,24.850000000000023,900,10,0.7086614333093166,207,3
2006,1,1,18,30,0,0,0,0,-0.14999999999997726,0,0,0,96.58884391594054,23.850000000000023,900,10,0.7086614333093166,210,3
2006,1,1,19,0,0,0,0,0,-1.1499999999999773,0,0,0,102.89983309815241,23.850000000000023,900,10,0.6692913547158241,207,3
2006,1,1,19,30,0,0,0,0,-1.1499999999999773,0,0,0,109.31890642140009,23.850000000000023,900,10,0.6692913547158241,291,3
2006,1,1,20,0,0,0,0,0,-1.1499999999999773,0,0,0,115.82599706835522,22.850000000000023,900,11,0.6692913547158241,272,3
2006,1,1,20,30,0,0,0,1,-1.1499999999999773,0,0,0,122.40469544603174,22.850000000000023,900,11,0.6692913547158241,264,3
2006,1,1,21,0,0,0,0,0,-2.1499999999999773,0,0,0,129.04130102823729,22.850000000000023,902,11,0.6299212761223316,259,3
2006,1,1,21,30,0,0,0,0,-2.1499999999999773,0,0,0,135.7240152751532,21.850000000000023,902,11,0.6299212761223316,255,3
2006,1,1,22,0,0,0,0,0,-2.1499999999999773,0,0,0,142.4421383397215,21.850000000000023,902,11,0.6299212761223316,252,3
2006,1,1,22,30,0,0,0,0,-3.1499999999999773,0,0,0,149.18499654736394,20.850000000000023,902,11,0.6299212761223316,249,4
2006,1,1,23,0,0,0,0,0,-3.1499999999999773,0,0,0,155.93981460689798,20.850000000000023,902,11,0.5905511975288391,247,4
2006,1,1,23,30,0,0,0,0,-4.149999999999977,0,0,0,162.68540495049814,19.850000000000023,900,11,0.5905511975288391,242,4
2006,1,2,0,0,0,0,0,0,-4.149999999999977,0,0,0,169.36300742053393,19.850000000000023,903,11,0.5905511975288391,242,4
2006,1,2,0,30,0,0,0,0,-3.1499999999999773,0,0,0,175.5831607438899,19.850000000000023,903,12,0.5905511975288391,244,4
2006,1,2,1,0,0,0,0,0,-4.149999999999977,0,0,0,175.62243413947306,19.850000000000023,903,12,0.5905511975288391,244,4
2006,1,2,1,30,0,0,0,0,-4.149999999999977,0,0,0,169.41158548385272,19.850000000000023,903,12,0.5905511975288391,245,4
2006,1,2,2,0,0,0,0,0,-4.149999999999977,0,0,0,162.73460871621904,19.850000000000023,903,12,0.5905511975288391,245,4
2006,1,2,2,30,0,0,0,0,-4.149999999999977,0,0,0,155.9886146756175,18.850000000000023,900,12,0.5905511975288391,245,4
2006,1,2,3,0,0,0,0,0,-4.149999999999977,0,0,0,149.23295108543672,18.850000000000023,903,12,0.5905511975288391,247,4
2006,1,2,3,30,0,0,0,0,-4.149999999999977,0,0,0,142.48890922002465,18.850000000000023,903,13,0.5905511975288391,247,4
2006,1,2,4,0,0,0,0,0,-4.149999999999977,0,0,0,135.76927969315665,18.850000000000023,903,13,0.5905511975288391,248,4
2006,1,2,4,30,0,0,0,0,-4.149999999999977,0,0,0,129.08472326557253,18.850000000000023,903,13,0.5905511975288391,248,4
2006,1,2,5,0,0,0,0,0,-4.149999999999977,0,0,0,122.44591216053328,18.850000000000023,903,13,0.5905511975288391,249,4
2006,1,2,5,30,0,0,0,0,-5.149999999999977,0,0,0,115.86460575817833,17.850000000000023,900,13,0.5905511975288391,248,4
2006,1,2,6,0,0,0,0,0,-4.149999999999977,0,0,0,109.35445387501025,18.850000000000023,905,13,0.5905511975288391,251,4
2006,1,2,6,30,0,0,0,0,-4.149999999999977,0,0,0,102.93180251445412,18.850000000000023,905,13,0.6299212761223316,254,4
2006,1,2,7,0,0,0,0,0,-3.1499999999999773,0,0,0,96.61664003157158,19.850000000000023,905,13,0.6299212761223316,257,3
2006,1,2,7,30,0,0,0,-15,-3.1499999999999773,0,0,0,90.4312150289527,19.850000000000023,905,13,0.6299212761223316,261,3
2006,1,2,8,0,39,247,63,-15,-3.1499999999999773,38,129,51,84.41373507666484,20.850000000000023,905,13,0.6692913547158241,268,2
2006,1,2,8,30,66,510,167,1,-3.1499999999999773,78,279,134,78.59768879394488,20.850000000000023,902,13,0.6692913547158241,276,2
2006,1,2,9,0,85,658,276,0,-2.1499999999999773,85,658,276,73.03472877888001,21.850000000000023,905,12,0.7086614333093166,293,2
2006,1,2,9,30,99,750,382,0,-2.1499999999999773,99,750,382,67.78902185847039,21.850000000000023,906,12,0.7086614333093166,313,2
2006,1,2,10,0,109,812,478,0,-1.1499999999999773,109,812,478,62.941475308434974,22.850000000000023,906,12,0.7086614333093166,237,2
2006,1,2,10,30,118,854,563,0,-1.1499999999999773,118,854,563,58.59234240495361,22.850000000000023,906,12,0.7480315119028091,254,2
2006,1,2,11,0,123,883,632,0,-0.14999999999997726,123,883,632,54.861449428790706,23.850000000000023,906,12,0.7480315119028091,207,2
2006,1,2,11,30,128,903,685,0,-0.14999999999997726,128,903,685,51.883304260337795,23.850000000000023,903,12,0.7480315119028091,98,2
2006,1,2,12,0,131,915,722,0,-0.14999999999997726,131,915,722,49.79389978253987,23.850000000000023,906,12,0.7874015904963017,20,3
2006,1,2,12,30,133,920,741,0,-0.14999999999997726,133,920,741,48.70824879657787,23.850000000000023,906,13,0.8267716690897942,27,2
2006,1,2,13,0,134,920,741,0,-0.14999999999997726,134,920,741,48.69379515560399,23.850000000000023,906,13,0.8267716690897942,34,2
2006,1,2,13,30,132,914,723,0,-0.14999999999997726,132,914,723,49.751488955074784,23.850000000000023,906,13,0.8661417476832867,40,2
2006,1,2,14,0,129,902,687,0,-0.14999999999997726,129,902,687,51.815503420610646,23.850000000000023,906,14,0.8661417476832867,47,2
2006,1,2,14,30,125,881,633,0,-0.14999999999997726,125,881,633,54.77177121336833,22.850000000000023,902,15,0.9055118262767792,51,3
2006,1,2,15,0,119,852,565,0,-0.14999999999997726,119,852,565,58.484541214518146,22.850000000000023,906,15,0.9448819048702717,57,3
2006,1,2,15,30,112,810,482,0,0.8500000000000227,112,810,482,62.81905628697709,22.850000000000023,906,16,0.9448819048702717,62,3
2006,1,2,16,0,100,750,386,0,0.8500000000000227,100,750,386,67.6550055175604,22.850000000000023,906,16,0.9842519834637642,65,3
2006,1,2,16,30,85,660,279,0,0.8500000000000227,85,660,279,72.89159957921842,22.850000000000023,906,17,1.0236220620572567,69,3
2006,1,2,17,0,64,521,169,-15,0.8500000000000227,64,521,169,78.4474405550837,22.850000000000023,906,17,1.0236220620572567,74,3
2006,1,2,17,30,46,191,65,-15,0.8500000000000227,65,0,65,84.2579558894582,21.850000000000023,902,18,1.0236220620572567,75,3
2006,1,2,18,0,0,0,0,0,0.8500000000000227,0,0,0,90.2712541218755,21.850000000000023,906,18,1.0629921406507492,79,3
2006,1,2,18,30,0,0,0,0,0.8500000000000227,0,0,0,96.45325709441403,21.850000000000023,906,19,1.0629921406507492,85,3
2006,1,2,19,0,0,0,0,0,0.8500000000000227,0,0,0,102.76591384518778,21.850000000000023,906,19,1.1023622192442417,92,3
2006,1,2,19,30,0,0,0,0,0.8500000000000227,0,0,0,109.18669530148394,21.850000000000023,906,19,1.1023622192442417,99,2
2006,1,2,20,0,0,0,0,0,0.8500000000000227,0,0,0,115.6954883742598,21.850000000000023,906,19,1.1023622192442417,109,2
2006,1,2,20,30,0,0,0,0,-0.14999999999997726,0,0,0,122.2758435176028,20.850000000000023,906,19,1.1023622192442417,120,2
2006,1,2,21,0,0,0,0,0,0.8500000000000227,0,0,0,128.91401836000855,20.850000000000023,906,20,1.1023622192442417,132,2
2006,1,2,21,30,0,0,0,0,-0.14999999999997726,0,0,0,135.5981601100961,20.850000000000023,906,20,1.1023622192442417,143,2
2006,1,2,22,0,0,0,0,0,-0.14999999999997726,0,0,0,142.3174846997733,20.850000000000023,906,20,1.1023622192442417,153,2
2006,1,2,22,30,0,0,0,0,-0.14999999999997726,0,0,0,149.06116809255877,20.850000000000023,906,21,1.1023622192442417,160,3
2006,1,2,23,0,0,0,0,0,-0.14999999999997726,0,0,0,155.81612987147724,19.850000000000023,906,21,1.1023622192442417,167,3
2006,1,2,23,30,0,0,0,0,-0.14999999999997726,0,0,0,162.56046201257266,19.850000000000023,903,21,1.1023622192442417,171,3
2006,1,3,0,0,0,0,0,0,-0.14999999999997726,0,0,0,169.23333154747792,19.850000000000023,908,21,1.1023622192442417,176,3
2006,1,3,0,30,0,0,0,0,-0.14999999999997726,0,0,0,175.4416439805715,19.850000000000023,908,21,1.1023622192442417,179,3
2006,1,3,1,0,0,0,0,0,-0.14999999999997726,0,0,0,175.64190261145313,19.850000000000023,908,21,1.0629921406507492,181,3
2006,1,3,1,30,0,0,0,0,-1.1499999999999773,0,0,0,169.4845852333265,18.850000000000023,908,20,1.0629921406507492,184,3
2006,1,3,2,0,0,0,0,0,-1.1499999999999773,0,0,0,162.81693458519777,18.850000000000023,906,20,1.0236220620572567,187,3
2006,1,3,2,30,0,0,0,0,-2.1499999999999773,0,0,0,156.0730965804466,18.850000000000023,903,20,0.9842519834637642,190,3
